j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
1,        ,          IVAN MOLANO,NA,        Las Pulgas,Caturra,"Planadas, Tolima","2,070 masl","July, 2019",Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/las-pulgas,Sey Coffee," a satisfying subtle acidity,  chocolate mouthfeel,  rounded out with red fruit,  soft, beautiful"
2,        ,          UGO BEGNE,NA,        Yabitu Koba,JARC Selections & Ethiopian Landrace,"Uraga, Guji","2,160 - 2,310 masl","January, 2020",Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/yabitu-koba,Sey Coffee," jasmine-like florals,  layered with ripe watermelon,  singing acidity, cup"
3,        ,          GUDUBA WET MILL,NA,        Benti Nenka,Ethiopian Landrace,"Hambela Wamena, Guji",1925 - 2110 masl,"October, 2019",Harvested at peak ripeness. Floated. Depulped. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/benti-nenka,Sey Coffee," excellent complexity of fruits—ripe peach,  melon—and a long vanilla finish,  sings with bergamot acidity,  star fruit, Guji"
4,        ,          SUKE,NA,        SEY x Street Dreams,Ethiopian Landrace,"Uraga, Guji","1,900 - 2,150 masl",October 2019 - January 2020,Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/suke,Sey Coffee," crisp acidity while ranging in flavor from melon,  stone fruit to bright tropical fruits throughout, bright"
5,        ,          HEZA,NA,        Gitwe Hill,"Mibirizi, Red Bourbon",Heza,"1,859 - 2,098 masl","April 6, 10, 12, and 15, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 12-18 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/gitwe-hill,Sey Coffee," black tea aromatics with a good depth of sweetness,  citrus-like acidity,  ripe tropical fruit, sparkling"
6,        ,          ENRIQUE MERINO,NA,        Lugmapata,Sidra,Pallatanga,"1,700 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra,Sey Coffee," a whisper of delicate florals,  almost wine-like acidity,  red berries, heavy"
7,        ,          Erick Bravo,NA,"        FINCA EL CHAFEROTE, LOT #2",Pink Bourbon,"San Agustín, Huila","1,600 masl","July, 2022",Hand picked at peak ripeness every three weeks. Floated to further remove defects. Held in cherry to ferment for 48 hours. Depulped. Dry fermented for an additional 36 hours. Washed. Dried on raised beds until moisture content reaches ~10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/erick-bravo-2022,Sey Coffee," berries,  ripe stone fruit, lemonade"
8,        ,          Danche,NA,        Lot #8,Ethiopian Landrace,"Gedeb, Gedeo","2,200 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Fermented underwater for 36 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/danche-lot-8,Sey Coffee," a lively citrus acidity,  peach,  watermelon, florals"
9,        ,          ALEJANDRO RENJIFO,NA,        Reina de Saba,Gesha,"Santa Monica, San Agustín","1,800 masl","Main; January, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-gesha,Sey Coffee," citrus oil,  fresh peach,  honeysuckle,  ripe strawberry, jasmine"
10,        ,          Mario Moreno,NA,        Piedras Amarillas,Pacas,Santa Bárbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas-pacas-2020,Sey Coffee," blackberry,  orange blossom honey, lychee"
11,        ,"          Mapendo 1,800",NA,        BUCHIRO & CHEBUMBA,SL34,"Chebumba, Kalehe, South Kivu","1,800 - 2,000 masl","June, 2022","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 12 hours, then wet fermented for an additional 24 hours. Dried on raised beds for 20 days until moisture content reaches approximately 10%.",https://www.seycoffee.com/collections/archived-coffees/products/mapendo-1-800,Sey Coffee," darker plum fruits,  rose,  subtle nuances of lemon, spices"
12,        ,          Mario Moreno,NA,        Lote Sofia,Pacas,Santa Bárbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/lote-sofia,Sey Coffee," a lively pineapple-like acidity,  grape,  molasses, sweetness"
13,        ,          Guillermo Lomas,NA,        ,Mejorado,"La Perla, Nanegal","1,160 masl","June, 2022","Hand picked at peak ripeness. Floated to further remove defects, and depulped on the day of harvest. Fermented in tile tanks for 18-24 hours. Dried for 18 days on raised beds.",https://www.seycoffee.com/collections/archived-coffees/products/guillermo-lomas,Sey Coffee," dulce de leche,  papaya,  with notes of tangerine, sweet"
14,        ,          Esayas Beriso,NA,        BUKU SAYISA,Ethiopian Landrace,"Hambela Wamena, Guji","2,350 masl","January, 2022","Harvested at peak ripeness. Hand sorted. Depulped. Wet fermented for up to 72 hours, washed in channels, and graded by density. Lower density seeds will float and are removed, leaving only the denser, higher quality, seeds which are then separated as higher grade lots. Soaked for two hours after fermentation. Dried for ten days in two centimeter layers, and hand sorted one final time.",https://www.seycoffee.com/collections/archived-coffees/products/buku-sayisa,Sey Coffee," lively,  nectarine,  ripe raspberry,  with notes of sweet peach tea, expressive"
15,        ,          The Alarcon Family,NA,        FINCA LA PALESTINA,Gesha,San José del Alto ,"1,770 masl","July, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried for 15 days on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/the-alarcon-family,Sey Coffee," citrus,  lavender,  star fruit, jasmine"
16,        ,          ENRIQUE MERINO,NA,        Lugmapata,Mejorado,Pallatanga,"1,700 masl","July - September, 2020",Hand picked at peak ripeness. Floated to further remove defects. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-mejorado-2020,Sey Coffee," aromatic coffee is almost Gesha-like in structure,  jasmine,  lemongrass,  with notes of fresh bergamot, floral"
17,        ,          Alejandro Renjifo,NA,        REINA DE SABA,Gesha,"Santa Monica, San Agustín","1,800 masl","March, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-gesha-2022,Sey Coffee," articulated acidity,  more than enough sweetness to balance it all out,  peach,  ripe berries,  star fruit, florals"
18,        ,          Dumerso,NA,        ,Ethiopian Landrace,"Gedeo, Yirgacheffe","2,200 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and seperate by density. Highest quality cherries are then hand sorted. Depulped leaving mucilage intact. Fermented for a very short time. Dried on raised beds for 4-9 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/dumerso-honey,Sey Coffee," apple blossom,  papaya,  watermelon, guava"
19,        ,          Felipe Luzon,NA,        FINCA LOS EUCALIPTOS,Mejorado,"Palanda, Zamora Chinchipe","1,600 masl","October, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Wet fermented for 60 hours. Washed. Dried on raised beds for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/felipe-luzon-1,Sey Coffee," ripe stone fruit,  strawberry, florality"
20,        ,        Halo,Washed,        Ethiopia,Ethiopian Landrace,"Gedeb, Yirgacheffe","1,900 - 2,210 masl","January, 2019",Hand picked at peak ripeness. Fermented underwater for 24-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/halo,Sey Coffee," cleaner side of the profiles we see from Gedeb,  crisp, bright"
21,        ,          Bukeye,NA,        GAHARO HILL,Field Blend,Muramvya,"1,700 - 2,100 masl","May, 2022",Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Single-fermented dry for 12 hours. Rinsed in fresh water. Density graded. Dried on traditional African raised beds for 16-20 days until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/gaharo-hill-2023,Sey Coffee," blood orange,  Earl Grey, plum"
22,        ,          Jhon Alexander Montoya,NA,        LA ESTRELLA,Chiroso,Urrao,"1,900 masl","January, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Depulped coffee is collected and fermented over the course of five days in a process called ‘cochada'. Dried on raised beds until moisture content reaches ~10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/jhon-alexander-montoya,Sey Coffee," jasmine,  orange tropical fruit,  red berries, yellow"
23,        ,          LA FAMILIA RODRIGUEZ,NA,        Alasitas,Caturra,"La Paz, Caranavi","1,600 masl","June, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 20 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/alasitas,Sey Coffee," a lingering chocolate finish,  whisper of rose florality, articulation"
24,        ,          Diego Fernando Tochez,NA,        VILLA VALENTINA,Castillo & Typica,"Santander de Quilichao, Cauca","1,780 masl","June, 2022",Hand-picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 32 hours. Dried on raised beds until moisture content reaches 10%.,https://www.seycoffee.com/collections/archived-coffees/products/diego-fernando-tochez,Sey Coffee," berry jam sweetness,  milk chocolate,  we find a sweetness-forward profile with a creamy-like structure, cup"
25,        ,        Worka Chelbesa,WASHED,        Ethiopia,Ethiopian Landrace,"Gedeb, Gedeo","1,900 - 2,200 masl","December, 2020","Harvested at peak ripeness. Hand sorted, then floated to further remove defects. Depulped. Half of this lot was fermented in the traditional Ethiopian manner: fully submerged in water for 36-48 hours. The other half was dry fermented for 36-48 hours. The lots were then blended and dried on raised beds until moisture content reaches 10.5%.",https://www.seycoffee.com/collections/archived-coffees/products/worka-chelbesa,Sey Coffee," a peach-like brightness ,  red tea,  with deeper tropical fruit, florality"
26,        ,          Layo Teraga,NA,        HAWATA,Ethiopian Landrace,"Uraga, Guji","2,300 masl","January, 2022","Harvested at peak ripeness. Hand sorted, then floated to further remove defects. Depulped. Wet fermented for 48-72 hours. Soaked in clean water for five hours. Dried on raised beds until moisture content reaches 10.5%.",https://www.seycoffee.com/collections/archived-coffees/products/layo-teraga-2022,Sey Coffee," hibiscus florality,  peach juice, lemonade"
27,        ,          QUNQNA #2,NA,        Asefa Dukamo,Ethiopian Landrace,"Bensa, Sidama","1,900-2100 masl","January, 2020",Hand picked at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Honey processed; dried on raised beds with mucilage intact and without fermentation for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/asefa-dukamo,Sey Coffee," florals,  melons,  stone fruit, tropicals"
28,        ,          Kubi,NA,        LOT #8,Ethiopian Landrace,"Gedeb, Gedeo","2,200 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Fermented underwater for 36 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/kubi-1,Sey Coffee," a lively citrus acidity,  red fruit, florals"
29,        ,          GABRIEL CHURA ,NA,        San Gabriel,Red and Yellow Catuai,"Uchumachi, Caranavi","1,425 masl","September, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 18 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/san-gabriel,Sey Coffee," citrus acidity,  plum fruits,  softer,  with an almost cane sugar sweetness, blackberry"
30,        ,          JHON WILSON POVEDA,NA,        Finca Danny,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Mitaca; June, 2019 ",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-mitaca,Sey Coffee," a nice articulated lemon zest acidity,  body,  chocolaty sweetness,  love from Jhon Wilson Poveda: heavy currant fruit, know"
31,        ,          Demeka Becha,NA,        RED HONEY,Ethiopian Landrace,"Buna Zuria, Sidama","2,200 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and separated by density. Highest quality cherries are then separated and sorted by hand. Depulped to leave mucilage intact. Fermented for a very short time. Dried on raised beds for 4-9 days until reaching ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/demeka-red-honey,Sey Coffee," Earl Grey,  jasmine,  mango, pineapple"
32,        ,          Enrique Merino,NA,        LUGMAPATA,Mejorado,Pallatanga,"1,700 masl","August, 2021",Hand picked at peak ripeness. Floated. Held for 24 hours in cherry. Depulped. Wet fermented for five days. Washed. Dried in the sun for five hours and then three days in a mechanical dryer.,https://www.seycoffee.com/collections/archived-coffees/products/enrique-merino-2022,Sey Coffee," as well as having a lively citrus-like acidity, variety"
33,        ,        Odola TebeArowacho,WASHED,        Ethiopia,Ethiopian Landrace,"Uraga, Guji","2,100 masl","January, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Wet fermented for 12-14 hours. Dried on raised beds for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/odola-tebearowacho,Sey Coffee," peach ,  sparkling lemonade, candy"
34,        ,          Esnaider Ortega,NA,        LA ESPERANZA,Sidra,"San Agustín, Huila ","1,750 masl ","October, 2022","Hand picked at peak ripeness. Floated to remove defects, and hand sorted to further remove immature cherries. Held in cherry for 13 hours. Depulped the following morning, then dry fermented in oak barrels for 36 hours. Rinsed four times, then left in plastic bags to drain for 17 hours. Dried on shaded raised beds for 15 days.",https://www.seycoffee.com/collections/archived-coffees/products/esnaider-ortega,Sey Coffee," honeydew,  raspberry, florality"
35,        ,          FLOR MILENA ,NA,        Finca Danny,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Main; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/flor-milena,Sey Coffee," a lively acidity,  with deep sweetness, fruits"
36,        ,          Mario Moreno,NA,        Mas Morenos,"Pacas, Cataui",Santa Bárbara,"1,650 masl","May, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/mas-morenos-1,Sey Coffee," balance,  has excellent depth of structure, sweetness-focused"
37,        ,          Hada Molecha,NA,        ,Ethiopian Landrace,"Gedeo, Yirgacheffe","2,150 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36-72 hours. Dried on raised beds for 9-12 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/hada-molecha,Sey Coffee," pink lemonade,  plum, verbena"
38,        ,          Gore Dako,NA,        ,Ethiopian Landrace,Agaro Gera,"2,100 masl","January, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped on a Penagos eco-pulper on the day of harvest. Soaked overnight. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/gore-dako,Sey Coffee," peach,  wildflower honey, lemon"
39,        ,          ENRIQUE MERINO,NA,        Lugmapata,Sidra,Pallatanga,"1,700 masl","July - September, 2020",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra-2020,Sey Coffee," a whisper of delicate florals,  almost wine-like acidity,  red berries, heavy"
40,        ,          KADIR JABRIL,NA,        Wate Gogugu,Ethiopian Landrace,"Uraga, Guji","2,000 - 2,280 masl","January, 2021",Hand picked at peak ripeness. Fermented underwater for 36-48 hours. Washed and soaked in clean water. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/wate-gogugu,Sey Coffee," a lively citrus acidity,  packed with intoxicating honeysuckle,  passion fruit, complex"
41,        ,          Pitalito,NA,        DECAFFEINATED,"Caturra, V. Colombia, Castillo","Pitalito, Huila","1,500 - 1,800 masl ","July, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 12-30 hours. Dried on parabolic dryers for 20 days. Decaffeinated with ethyl acetate.,https://www.seycoffee.com/collections/archived-coffees/products/pitalito-decaf,Sey Coffee," chocolate,  cream, fruits"
42,        ,        Hamasho ,WASHED,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","2,300 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36-72 hours. Dried on raised beds for 9-12 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/hamasho-2022,Sey Coffee," expressive,  nectarine,  refreshing profile of jasmine,  with a very long limeade finish, floral"
43,        ,          Worka Site,NA,        ,Ethiopian Landrace,"Gedeb, Yirgacheffe","2,000 - 2,210 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Graded by density. Wet fermented for 36-72 hours. Dried on raised beds until reaching ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/worka-site,Sey Coffee," delicate jasmine,  lilac florals,  sparkling acidity, peach"
44,        ,          Mapendo,NA,        BUCHIRO & CHEBUMBA,SL34,"Chebumba, Kalehe, South Kivu","1,480 - 2,000 masl","June, 2021","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 12 hours, then wet fermented for an additional 24 hours. Dried on raised beds for 20 days until moisture content reaches approximately 10%.",https://www.seycoffee.com/collections/archived-coffees/products/mapendo,Sey Coffee," darker plum fruits,  rose,  subtle nuances of lemon, spices"
45,        ,          Demeka Becha,NA,        LOT #100,Ethiopian Landrace,"Buna Zuria, Sidama","2,200 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Graded by density. Wet fermented for 36-72 hours. Dried on raised beds until reaching ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/demeka-becha-100,Sey Coffee," an effervescent acidity,  passion fruit, lemon"
46,        ,          Jesus Antonio Saavedra,NA,        El Placer,Castillo,"San Antonio, Tolima","2,125 masl","Mitaca; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/el-placer-castillo-2020,Sey Coffee," clarity,  has excellent sweetness, fruits"
47,        ,          Mario & Danny Moreno,NA,        EL FILO,Pacas,Santa Bárbara,"1,550 masl","June, 2022",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/el-filo-2022,Sey Coffee," a delicate matcha tea finish, acidity"
48,        ,          Ulises Cerron,NA,        EL AGUACATE,"Gesha, Castillo","El Tablón de Gómez, Nariño","2,100 masl","July, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Wet fermented for 17 hours. Washed. Dried on parabolic dryers for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/ulises-cerron,Sey Coffee," a subtle florality,  an elegant,  articulated red berries,  refreshing acidity, refined"
49,        ,        Teshome Gemechu,WASHED,        Ethiopia,Ethiopian Landrace,"Gedeb, Gedeo","2,000 - 2,200 masl","January, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 48 hours. Dried on raised beds for 20 days until moisture content reaches approximately 10%.,https://www.seycoffee.com/collections/archived-coffees/products/teshome-gemechu,Sey Coffee," subtle florality,  with a lemon/lime-like acidity, fruit"
50,        ,          Mabel Moreno,NA,        PIEDRAS AMARILLAS,Pacas,Santa Bárbara,"1,650 masl","April, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/mabel-moreno-2022,Sey Coffee," black raspberry,  orange blossom honey, lychee"
